October 19,1924
September 13–14,1928
September 5–6,1932
November 5–8,1932
August 30,1933
September 21,1933
September 3,1935
September 19–20,1938
September 3,1953
September 27–28,1955
September 17,1961
October 31,1961
September 20,1967
August 16–18,1969
September 9,1971
September 2,1977
August 30–31,1979
August 5–9,1980
September 13–14,1988
September 15,1989
August 23–24,1992
October 26–28,1998
September 11–14,2003
September 9–14,2004
July 16,2005
August 28–29,2005
September 21–22,2005
October 19,2005
August 18–21,2007
September 3–4,2007
October 1,2016
September 5–9,2017
September 18–20,2017
October 10,2018
September 1–2,2019
September 29,2019
